iter	Passed	Remaining
409	4365	6282
410	4381	6278
411	4397	6275
412	4411	6269
413	4414	6249
414	4426	6239
415	4441	6234
416	4443	6212
417	4446	6191
418	4456	6180
419	4471	6175
420	4474	6153
421	4476	6131
422	4486	6120
423	4501	6115
424	4531	6131
425	4562	6147
426	4565	6126
427	4567	6104
428	4578	6093
429	4593	6089
430	4608	6083
431	4623	6078
432	4638	6073
433	4640	6052
434	4644	6031
435	4653	6020
436	4669	6015
437	4684	6011
438	4700	6007
439	4716	6002
440	4732	5998
441	4747	5992
442	4763	5989
443	4778	5984
444	4794	5979
445	4797	5958
446	4799	5937
447	4801	5916
448	4803	5894
449	4805	5873
450	4807	5852
451	4811	5833
452	4824	5826
453	4840	5820
454	4855	5815
455	4870	5810
456	4873	5790
457	4875	5769
458	4878	5749
459	4880	5729
460	4884	5710
461	4886	5690
462	4913	5698
463	4915	5678
464	4918	5658
465	4920	5638
466	4930	5626
467	4944	5620
468	4959	5615
469	4974	5609
470	4990	5605
471	5005	5599
472	5020	5593
473	5022	5573
474	5025	5554
475	5027	5534
476	5029	5514
477	5031	5494
478	5033	5475
479	5036	5455
480	5038	5436
481	5040	5417
482	5043	5398
483	5045	5379
484	5048	5360
485	5066	5358
486	5081	5352
487	5097	5347
488	5099	5329
489	5102	5310
490	5104	5291
491	5106	5272
492	5108	5253
493	5111	5235
494	5113	5216
495	5115	5198
496	5118	5179
497	5120	5161
498	5122	5143
499	5125	5125
500	5142	5121
501	5157	5116
502	5173	5111
503	5187	5105
504	5203	5100
505	5207	5083
506	5217	5073
507	5220	5056
508	5223	5038
509	5225	5020
510	5227	5002
511	5230	4984
512	5232	4967
513	5236	4950
514	5249	4943
515	5264	4937
516	5279	4932
517	5295	4927
518	5310	4922
519	5325	4916
520	5342	4911
521	5356	4905
522	5373	4900
523	5388	4894
524	5403	4888
525	5418	4882
526	5433	4877
527	5449	4871
528	5464	4865
529	5479	4859
530	5495	4853
531	5510	4847
532	5526	4841
533	5541	4835
534	5556	4829
535	5558	4812
536	5572	4804
537	5575	4787
538	5577	4770
539	5587	4759
540	5604	4755
541	5618	4747
542	5634	4742
543	5649	4735
544	5663	4728
545	5679	4722
546	5694	4715
547	5696	4698
548	5709	4690
549	5725	4684
550	5741	4678
551	5743	4661
552	5746	4644
553	5748	4628
554	5755	4614
555	5758	4598
556	5770	4589
557	5786	4583
558	5800	4576
559	5816	4570
560	5832	4564
561	5848	4557
562	5850	4541
563	5863	4532
564	5878	4525
565	5893	4518
566	5908	4511
567	5910	4495
568	5922	4486
569	5937	4479
570	5940	4462
571	5942	4446
572	5945	4430
573	5948	4414
574	5953	4400
575	5967	4393
576	5982	4386
577	5999	4379
578	6012	4372
579	6027	4364
580	6043	4358
581	6058	4351
582	6074	4344
583	6076	4328
584	6079	4313
585	6088	4301
586	6103	4294
587	6118	4286
588	6133	4280
589	6148	4272
590	6164	4266
591	6179	4258
592	6182	4243
593	6195	4234
594	6210	4227
595	6225	4220
596	6240	4212
597	6255	4205
598	6259	4190
599	6269	4179
600	6284	4172
601	6298	4163
602	6314	4157
603	6316	4141
604	6328	4132
605	6345	4125
606	6348	4110
607	6361	4101
608	6375	4093
609	6378	4078
610	6392	4069
611	6396	4055
612	6405	4043
613	6421	4037
614	6436	4029
615	6452	4022
616	6454	4006
617	6466	3997
618	6482	3989
619	6498	3982
620	6512	3974
621	6527	3967
622	6542	3959
623	6558	3952
624	6560	3936
625	6563	3921
626	6573	3910
627	6587	3902
628	6603	3894
629	6618	3887
630	6634	3879
631	6648	3871
632	6650	3855
633	6653	3840
634	6655	3825
635	6657	3810
636	6663	3797
637	6678	3789
638	6693	3781
639	6696	3766
640	6708	3757
641	6711	3742
642	6713	3727
643	6715	3712
644	6717	3697
645	6720	3682
646	6722	3667
647	6724	3652
