iter	Logloss
191	0.2091861233
192	0.2088858642
193	0.2086005343
194	0.2082280281
195	0.2079503677
196	0.2076335827
197	0.2072427229
198	0.2070179235
199	0.2064610507
200	0.2061425838
201	0.2059735904
202	0.2056115376
203	0.2052391013
204	0.2049286477
205	0.2047769413
206	0.2045295858
207	0.2041733473
208	0.204011083
209	0.203809966
210	0.2035690656
211	0.2033295835
212	0.2031607586
213	0.2029602226
214	0.2023135799
215	0.2020010465
216	0.2017859406
217	0.2015192632
218	0.2013213122
219	0.2011654787
220	0.2009718079
221	0.20072518
222	0.2003549709
223	0.2000576984
224	0.1999037448
225	0.1996180113
226	0.1992713458
227	0.1991561144
228	0.1988786395
229	0.1985848592
230	0.1981913104
231	0.1979087189
232	0.1976512919
233	0.1973611361
234	0.1972243968
235	0.1969805133
236	0.1965641916
237	0.1963133923
238	0.196154698
239	0.1959289808
240	0.195615666
241	0.1954268076
242	0.1951833603
243	0.1950021093
244	0.1947150763
245	0.1942602438
246	0.1939869411
247	0.1937280805
248	0.1934280786
249	0.1930730391
250	0.1928529986
251	0.192603455
252	0.1923875888
253	0.1921831347
254	0.1919958766
255	0.1918217098
256	0.1915708828
257	0.1913622996
258	0.1911224396
259	0.1909391562
260	0.1907463425
261	0.1905081298
262	0.1903080474
263	0.1901468419
264	0.1899647565
265	0.1898406296
266	0.1896166571
267	0.189362604
268	0.1891074922
269	0.1889266133
270	0.1888476238
271	0.1886198168
272	0.1883767678
273	0.1882343206
274	0.1878857519
275	0.1875576973
276	0.1874246743
277	0.1872233399
278	0.1869884547
279	0.1867071111
280	0.186279089
281	0.1860546929
282	0.1858388413
283	0.1857018894
284	0.1855814653
285	0.1853792614
286	0.1851908598
287	0.184976504
288	0.1846558516
289	0.1844495214
290	0.1843031277
291	0.1839140449
292	0.1834826911
293	0.1833192284
294	0.1830431235
295	0.1827910453
296	0.1825319869
297	0.1822917954
298	0.1819304319
299	0.1816308923
300	0.1814973549
301	0.1811670598
302	0.1809160899
303	0.1806284569
304	0.180420276
305	0.1802375625
306	0.1801005213
307	0.1798841584
308	0.1795905
309	0.1793680373
310	0.1791507292
311	0.1788294628
312	0.1786278849
313	0.1783816592
314	0.1780759821
315	0.1777814484
316	0.1775896977
317	0.1774128676
318	0.177069204
319	0.1768340084
320	0.1765939493
321	0.1763476536
322	0.1762394858
323	0.1761358901
324	0.1758171838
325	0.1756751
326	0.1754804508
327	0.1754056342
328	0.1751629267
329	0.1750264633
330	0.1747720699
331	0.1745405829
332	0.1743962673
333	0.1742259695
334	0.1740008965
335	0.173917187
336	0.1736063139
337	0.1734502082
338	0.173239111
339	0.1729861171
340	0.1727244501
341	0.1724971163
342	0.1723605431
343	0.1721099562
344	0.1719649558
345	0.171669189
346	0.1714869998
347	0.1712969691
348	0.1710720111
349	0.1710316268
350	0.1709165999
351	0.1708044265
352	0.1706538472
353	0.1704494119
354	0.1703159112
355	0.1701671464
356	0.1699303148
357	0.169817341
358	0.1696408676
359	0.1693687103
360	0.1692103284
361	0.1689847944
362	0.1688042375
363	0.1685798971
364	0.1683205284
365	0.1682307295
366	0.1680717092
367	0.1678604164
368	0.1677281797
369	0.167572645
370	0.1674777397
371	0.1673225893
372	0.1672178056
373	0.1669241226
374	0.1667372816
375	0.1665526682
376	0.1663198158
377	0.1659359163
378	0.1657818353
379	0.1655652093
380	0.1652939707
381	0.165050356
382	0.1649193712
383	0.1647389229
384	0.1645136691
385	0.1644164285
386	0.1642192369
387	0.1640430786
388	0.1639173089
389	0.1636803086
390	0.1633882103
391	0.1632346501
392	0.1630896162
393	0.1630236371
394	0.162879408
395	0.1627365037
396	0.1625603494
397	0.1623769845
398	0.1622181442
399	0.1619780959
400	0.161732401
401	0.1616454154
402	0.1615589273
403	0.1614465461
404	0.161288265
405	0.161130596
406	0.1609743904
407	0.1607840782
408	0.1606842752
409	0.160530174
410	0.1603504179
411	0.1600673706
412	0.160003562
413	0.159860444
414	0.159657447
415	0.1595061024
416	0.1593480928
417	0.1592208801
418	0.1591410389
419	0.1588907206
420	0.1586903991
421	0.1584257046
422	0.1583652507
423	0.1583212642
424	0.1582723536
425	0.1581663928
426	0.1578509777
427	0.1577625804
428	0.1575547563
429	0.1574287822
430	0.1573070091
431	0.1569917982
432	0.1567908956
433	0.1565359771
434	0.1563870477
435	0.1562608194
436	0.1560852511
437	0.1559498385
438	0.155758977
439	0.1553832012
440	0.1552532672
441	0.1551210904
442	0.1549868236
443	0.154841993
444	0.1546452643
445	0.154465977
446	0.1543408626
447	0.1542182631
448	0.1539499096
449	0.1538296738
450	0.1536823248
451	0.1535447423
452	0.1534251845
453	0.1532085998
454	0.1530425312
455	0.1527818992
456	0.1525135867
457	0.1523586733
458	0.1522385155
459	0.1520075544
460	0.1517616139
461	0.1514703567
462	0.15143192
463	0.1512599808
464	0.1510637778
465	0.1509630762
466	0.1508721866
467	0.1507358255
468	0.1506381677
469	0.1505494238
470	0.1503775455
471	0.1502715182
472	0.1501208812
473	0.1500086484
474	0.1498438133
475	0.1497395094
476	0.1495770537
477	0.1494220714
478	0.1493214163
479	0.1492425074
480	0.1490259034
481	0.1488441543
482	0.1485997119
483	0.1484965138
484	0.1483265614
485	0.1481660908
486	0.1478301429
487	0.1476630864
488	0.1475305788
489	0.1473825874
490	0.147237664
491	0.1470514299
492	0.1468599304
493	0.1467124486
494	0.1465485216
495	0.14640872
496	0.1461342051
497	0.1460129703
498	0.1459030151
499	0.1457976355
500	0.1456034606
501	0.1454809425
502	0.1453667826
503	0.1451361884
504	0.1450386224
505	0.1448181037
506	0.1445335932
507	0.1444175419
508	0.144284856
509	0.1441100673
510	0.1439181052
511	0.1437145989
512	0.1434955689
513	0.1433395516
514	0.1432219764
515	0.1430358331
516	0.1428928567
517	0.1427700165
518	0.1426717966
519	0.1424812014
520	0.142335335
521	0.1421307026
522	0.1419640075
523	0.141781167
524	0.1416541068
525	0.1414932733
526	0.141336557
527	0.1412291656
528	0.141081668
529	0.1409959817
530	0.1409428367
531	0.1408469464
532	0.1406387159
533	0.1404657001
534	0.1403025472
535	0.1401884843
536	0.1400898723
537	0.1399813234
538	0.1398813922
539	0.1397892231
540	0.1396347648
541	0.1395027625
542	0.1393701677
543	0.1392101444
544	0.1391328706
545	0.138995976
546	0.1388669898
547	0.1385689079
548	0.138468828
549	0.1382841382
550	0.1381918365
551	0.1379749097
552	0.1378668598
553	0.1377729684
554	0.13768432
555	0.1374553778
556	0.1373354689
557	0.1372572886
558	0.1371644878
559	0.1369465378
560	0.1368378765
561	0.1366263982
562	0.1364768998
563	0.1363844446
564	0.1360840037
565	0.1359818185
566	0.1358395469
567	0.1357263291
568	0.1355934651
569	0.1355000769
570	0.1353369605
571	0.1351323071
572	0.1350128615
573	0.1348185436
574	0.1345869859
575	0.134501529
576	0.1343803399
577	0.1342240266
578	0.1340530719
579	0.1337744384
580	0.1336586665
581	0.13351932
582	0.1333958074
583	0.1332292242
584	0.1330154939
585	0.1327111602
586	0.1325367293
587	0.1323215765
588	0.13222871
589	0.1321368303
590	0.1319419268
591	0.1318506908
592	0.1317125251
593	0.1314471383
594	0.1312129706
595	0.1310175981
596	0.1309556056
597	0.1307704052
598	0.1307021133
599	0.1304702548
600	0.1303076819
601	0.1303036458
602	0.1301408192
603	0.1299641192
604	0.1298418463
605	0.1295390144
606	0.129439201
607	0.1291880573
608	0.1290946041
609	0.1289598338
610	0.1288050842
611	0.1286828918
612	0.1285769982
613	0.1284632553
614	0.1282450194
615	0.1281055962
616	0.1278868513
617	0.127696922
618	0.1275882705
619	0.1274838546
620	0.1272972328
621	0.127154537
622	0.1270236956
623	0.1268823049
624	0.1267287332
625	0.1265873322
626	0.1263425697
627	0.126125701
628	0.1259548159
629	0.1259278759
630	0.1257996449
631	0.1256089453
632	0.1254093372
633	0.1252642216
634	0.1250249478
635	0.124975303
636	0.1248299115
637	0.1247234723
638	0.1245988479
639	0.1244164368
640	0.1242442473
641	0.1240748371
642	0.1238983777
643	0.1238215888
644	0.1237571081
645	0.1236987125
646	0.1235897921
647	0.1234074304
648	0.1232493335
649	0.1230641171
650	0.1229716732
651	0.1228936713
652	0.1227526938
653	0.1226416464
654	0.1224930089
655	0.1224327531
656	0.1223535132
657	0.1222858527
658	0.1221413837
659	0.1220396335
660	0.1218848294
661	0.1216498368
662	0.1214919129
663	0.1214064347
664	0.1213081303
665	0.1211996471
666	0.1211371697
667	0.1209454051
668	0.1208040843
669	0.120675914
670	0.1205087136
671	0.1204454426
672	0.1203606734
673	0.1202919872
674	0.1201304299
675	0.1200511591
676	0.1199702945
677	0.1199487062
678	0.1198733185
679	0.1197516049
680	0.1196026775
681	0.1194507465
682	0.1193712464
683	0.1191571806
684	0.118995465
685	0.1188616322
686	0.1187497484
687	0.1186056769
688	0.1184290753
689	0.118358586
690	0.1182303084
691	0.1181203055
692	0.1179755976
693	0.1177977217
694	0.1176508264
695	0.1175448096
696	0.1174261025
697	0.1172539546
698	0.1171191692
699	0.1170790195
700	0.1168242064
701	0.1166870345
702	0.1166159758
703	0.1165280352
704	0.1163956149
705	0.1162863315
706	0.1162203939
707	0.1161202783
708	0.1159988715
709	0.1159178374
710	0.1157406078
711	0.1156033713
712	0.1154829216
713	0.1152969516
714	0.1151579557
715	0.1150134873
716	0.1148856623
717	0.1147293129
718	0.1145893746
719	0.1144947789
720	0.1143745638
721	0.1143215763
722	0.1142311249
723	0.1140967614
724	0.1140416339
725	0.1139114793
726	0.1138313687
727	0.113705135
728	0.1135981456
729	0.1135032641
730	0.1133997444
731	0.1132780879
732	0.113134454
733	0.113043656
734	0.1129213618
735	0.1127294746
736	0.1124849154
737	0.1123532226
738	0.1122413659
739	0.1121479237
740	0.1120501383
741	0.1119398919
742	0.1117332039
743	0.1116428342
744	0.1116013433
745	0.1115090168
746	0.1114145331
747	0.1113257831
748	0.111253403
749	0.1111342488
750	0.1110449631
751	0.1109767275
752	0.1107887701
753	0.1106304032
754	0.1105106864
755	0.1103754618
756	0.1102946838
757	0.1101650089
758	0.1100921817
759	0.1099879491
760	0.1098747099
761	0.109805969
762	0.1096712035
763	0.1095705698
764	0.1094404061
765	0.1093508657
766	0.1091704066
767	0.1089615537
768	0.1088482536
769	0.1087509572
770	0.1086123806
771	0.1084626567
772	0.1083837167
773	0.1081710518
774	0.1081040954
775	0.1079616392
776	0.1078615245
777	0.1078011412
778	0.1077330372
779	0.1076188814
780	0.1074798256
781	0.1073719433
782	0.1072913169
783	0.1072087953
784	0.1071274255
785	0.1070418107
786	0.1069456807
787	0.1068498525
788	0.1066892985
789	0.1065989228
790	0.1064502643
791	0.106328362
792	0.1060841909
793	0.1059702504
794	0.1058856081
795	0.1057726084
796	0.1056518538
797	0.1055295747
798	0.105348024
799	0.1052677653
800	0.1052024937
801	0.1049942838
802	0.1048169114
803	0.1047503514
804	0.1046518119
805	0.1044542676
806	0.1043630719
807	0.1042185464
808	0.1041038356
809	0.1039970855
810	0.10389114
811	0.1037581286
812	0.1036208348
813	0.1035599169
814	0.1035102874
815	0.1034216339
816	0.1033384552
817	0.1032988867
818	0.1032195401
819	0.1031147308
820	0.1030008874
821	0.1029167802
822	0.1028735624
823	0.1027728465
824	0.102654736
825	0.1025901895
826	0.1024693828
827	0.1023778913
828	0.1022887235
829	0.1022084687
830	0.1020669099
831	0.1019036805
832	0.1018123824
833	0.1017058265
834	0.1016541526
835	0.1015872361
836	0.1015162125
837	0.1014636686
838	0.1013264517
839	0.1012657322
840	0.1010309375
841	0.1009628041
842	0.1008200425
843	0.1007439008
844	0.1006240525
845	0.1005617088
846	0.1005069255
847	0.1004146852
848	0.1003882346
849	0.1002866877
850	0.1002593807
851	0.1001529309
852	0.1000282008
853	0.09982555598
854	0.09974090933
855	0.09966824814
856	0.09947530684
857	0.09939668325
858	0.09930303122
859	0.09919921067
860	0.09914331329
861	0.09909139104
862	0.09904018207
863	0.09894651318
864	0.09878849803
865	0.09870954417
866	0.09856724549
867	0.09845258131
868	0.09832372185
869	0.0982085113
870	0.09813010186
871	0.09800349081
872	0.09793638554
873	0.09784777955
874	0.09773978038
875	0.09761977971
876	0.09751501188
877	0.09738949041
878	0.09720191592
879	0.09710641359
880	0.09700665516
881	0.09691414374
882	0.09685408788
883	0.096680548
884	0.09652077995
885	0.09640772452
886	0.09635284665
887	0.0962636487
888	0.09623567924
889	0.09617623407
890	0.09608253493
891	0.09601611792
892	0.09589855276
893	0.09587033856
894	0.09581003343
895	0.09572663492
896	0.09563036257
897	0.09557417946
898	0.09547446169
899	0.09535821709
900	0.09529815434
901	0.09524672735
902	0.09510371538
903	0.09496379187
904	0.09490666016
905	0.09481257451
906	0.09467582776
907	0.09462835937
908	0.0945460451
909	0.09449637581
910	0.09442355202
911	0.09434409371
912	0.09424042197
913	0.094138993
914	0.09405526776
915	0.09395512807
916	0.09381058249
917	0.09374478136
918	0.09366099629
919	0.09350723062
920	0.0934156111
921	0.09333322823
922	0.09328452138
923	0.09317503932
924	0.09308820969
925	0.09299792665
926	0.0929459736
927	0.09285457343
928	0.09278334602
929	0.09268733402
930	0.09261352148
931	0.09252249436
932	0.09243891657
933	0.09229985537
934	0.0922115031
935	0.09211865075
936	0.09207086605
937	0.0919677604
938	0.09188940138
939	0.09171119418
940	0.09162664964
941	0.0915875391
942	0.09149313136
943	0.09142577693
944	0.09136697491
945	0.09122565533
946	0.09117010374
947	0.09112392386
948	0.09106252209
949	0.09092603925
950	0.09087391226
951	0.09074276518
952	0.09064146758
953	0.09057569927
954	0.09048801874
955	0.09040110889
956	0.0903335258
957	0.09024023983
958	0.09016595334
959	0.08998177309
960	0.08990417456
961	0.08980460928
962	0.08968002687
963	0.08959878462
964	0.0895026957
965	0.08941908428
966	0.08934110206
967	0.08923169757
968	0.08900512842
969	0.08887749896
970	0.08876457676
971	0.08864787216
972	0.08858885575
973	0.08847580079
974	0.08840178984
975	0.08830119577
976	0.08824042629
977	0.08815600848
978	0.08808172199
979	0.08798993526
980	0.08789008075
981	0.08769755677
982	0.08760225856
983	0.08742846842
984	0.087349943
985	0.0872774604
986	0.08726026496
987	0.08717785582
988	0.08709107829
989	0.08701392914
990	0.08694806762
991	0.08686157568
992	0.08678827294
993	0.0867360347
994	0.08668351957
995	0.0865917685
996	0.08646590587
997	0.08642424777
998	0.08633150228
999	0.086300302
